"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","GeneBiotype"
"ENSG00000000005",330.876749937239,-4.82334144310892,0.236521339187775,8.06984269732411e-94,1.80813905549764e-92,"TNMD","protein_coding"
"ENSG00000000460",814.709421848162,1.97186109747475,0.0798263320993889,3.45164877103041e-136,1.72859803184907e-134,"C1orf112","protein_coding"
"ENSG00000000971",4492.96506695989,-1.5209128675072,0.136262419904812,4.43738026821599e-30,1.80444170549228e-29,"CFH","protein_coding"
"ENSG00000001167",3689.65369753532,1.20228814816789,0.0857709152818146,2.0292668450906e-45,1.31944439783028e-44,"NFYA","protein_coding"
"ENSG00000002726",79.6032312920896,2.41909505804446,0.169312807287865,1.04067389466208e-47,7.3300207724901e-47,"AOC1","protein_coding"
"ENSG00000002745",10.0517368436596,1.10733558831553,0.207963474160199,2.13660356138092e-08,3.81379316085252e-08,"WNT16","protein_coding"
"ENSG00000002822",32.5882466148487,1.50041441995639,0.146963231912186,1.33902067415234e-25,4.72065805236988e-25,"MAD1L1","protein_coding"
"ENSG00000003096",1531.64203375609,-1.97424630494626,0.180477379402931,2.55449391042266e-29,1.01714313844491e-28,"KLHL13","protein_coding"
"ENSG00000003249",2524.31420368055,2.3247624261145,0.132763831546927,4.39727285599009e-70,5.70492755186933e-69,"DBNDD1","protein_coding"
"ENSG00000003436",2130.73505972579,-1.86576824632201,0.128214105446794,2.10077647098386e-49,1.55863164361752e-48,"TFPI","protein_coding"
"ENSG00000003989",2899.08967263038,-2.57611998220813,0.187143548466248,1.95598131407535e-44,1.23178508877043e-43,"SLC7A2","protein_coding"
"ENSG00000004059",5617.58017606721,1.0623553037686,0.0757811169686646,2.90161271874692e-45,1.87645800224268e-44,"ARF5","protein_coding"
"ENSG00000004468",625.75330025482,1.31290128359444,0.180193447152821,3.90177075888159e-14,9.04589371172506e-14,"CD38","protein_coding"
"ENSG00000004478",11236.5996144672,1.08278465491092,0.0940945983554751,2.77591697463897e-31,1.17539896658908e-30,"FKBP4","protein_coding"
"ENSG00000004776",1123.52355991074,-4.92039590892716,0.210169642077849,1.2264037294865e-122,4.83294977893895e-121,"HSPB6","protein_coding"
"ENSG00000004777",689.267759921196,1.04766584801366,0.102275228614477,3.17309014491398e-25,1.10522847999312e-24,"ARHGAP33","protein_coding"
"ENSG00000004799",13346.2619317958,-4.47148236270758,0.18038950863295,7.46043003781792e-137,3.7812245857338e-135,"PDK4","protein_coding"
"ENSG00000004809",41.9080622345164,2.21362326514435,0.192626131378229,4.86926317242196e-32,2.10901136170771e-31,"SLC22A16","protein_coding"
"ENSG00000004846",129.634570307825,-4.1488596098628,0.233597237022858,1.18067791288781e-71,1.58684243132294e-70,"ABCB5","protein_coding"
"ENSG00000004948",37.4620454980679,-2.66777910047764,0.176464888111956,6.68615656114436e-53,5.45625395026073e-52,"CALCR","protein_coding"
"ENSG00000005001",657.648885791236,1.50314139183605,0.168349877912204,3.19683839469237e-20,9.350460571439e-20,"PRSS22","protein_coding"
"ENSG00000005020",2632.29132620235,-1.01392537233445,0.0970142404362276,3.95495414283105e-26,1.4229209613303e-25,"SKAP2","protein_coding"
"ENSG00000005073",96.2930797502602,2.03661022461913,0.230146623388754,2.92822833206615e-20,8.58270303843879e-20,"HOXA11","protein_coding"
