"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","GeneSymbol","GeneBiotype"
"ENSG00000000003",3027.10612688227,-1.1879577137743,0.0925560027511332,1.36472226498373e-38,6.57896180089807e-38,"TSPAN6","protein_coding"
"ENSG00000000005",339.384543650248,-5.91186472204392,0.208899340367448,1.45276199689605e-177,7.59496753284103e-176,"TNMD","protein_coding"
"ENSG00000000460",693.884533166014,1.52765102146165,0.071180185990903,3.21958787110179e-103,5.8403601532465e-102,"C1orf112","protein_coding"
"ENSG00000000971",4694.0289940671,-1.65698452244993,0.121680713337555,2.52838227718223e-43,1.38460596142114e-42,"CFH","protein_coding"
"ENSG00000001617",6431.45765336496,1.4150867543104,0.0764945999690889,2.10263001195222e-77,2.37554856518145e-76,"SEMA3F","protein_coding"
"ENSG00000001626",58.1187584166943,-1.93949817042632,0.220739189098953,9.90719769229666e-20,2.68131456514666e-19,"CFTR","protein_coding"
"ENSG00000002726",146.267770943527,3.18272011390176,0.240512048363451,4.83134944287921e-41,2.49252027341185e-40,"AOC1","protein_coding"
"ENSG00000003096",1343.39498556238,-3.25431291817652,0.160082150873514,6.63877730857039e-93,9.99616969700125e-92,"KLHL13","protein_coding"
"ENSG00000003137",701.882371027306,-2.87387070788986,0.147028167660257,3.30931726611067e-86,4.36933700844762e-85,"CYP26B1","protein_coding"
"ENSG00000003249",2320.37843077016,2.02594855008316,0.107320303647764,1.12712675796795e-80,1.3437713770278e-79,"DBNDD1","protein_coding"
"ENSG00000003400",812.089774591211,-1.0938719461569,0.104593369496683,2.0557051127245e-26,6.9197640207167e-26,"CASP10","protein_coding"
"ENSG00000003402",6222.95274182392,-1.29461560382544,0.0636737529207349,7.64160295282013e-93,1.14753562986418e-91,"CFLAR","protein_coding"
"ENSG00000003436",2315.87043539158,-1.81815740410628,0.159446633941034,2.8521346747866e-31,1.107818069113e-30,"TFPI","protein_coding"
"ENSG00000003989",15863.1550579848,1.58001066289576,0.190529136626252,9.09227240072778e-18,2.30337567485104e-17,"SLC7A2","protein_coding"
"ENSG00000004478",19372.94452817,1.85754188720166,0.0823273924384096,7.09473406133385e-114,1.55107471673369e-112,"FKBP4","protein_coding"
"ENSG00000004776",1154.42979843236,-5.78790755084906,0.175462140691037,6.16245850960068e-240,7.62785489342778e-238,"HSPB6","protein_coding"
"ENSG00000004799",14245.3511002658,-4.3236269636865,0.160440738897419,7.31661364796412e-161,3.04870975618386e-159,"PDK4","protein_coding"
"ENSG00000004809",8.97069809796888,-1.00452059866787,0.194520728250626,4.49037091450158e-08,7.69529715715358e-08,"SLC22A16","protein_coding"
