gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,GeneSymbol,GeneBiotype
ENSG00000003989,2899.08967263038,-2.57611998220813,0.187143548466248,1.9559813140753498e-44,1.2317850887704298e-43,SLC7A2,protein_coding
ENSG00000004468,625.75330025482,1.31290128359444,0.180193447152821,3.90177075888159e-14,9.04589371172506e-14,CD38,protein_coding
ENSG00000004777,689.267759921196,1.04766584801366,0.102275228614477,3.1730901449139797e-25,1.10522847999312e-24,ARHGAP33,protein_coding
ENSG00000004948,37.4620454980679,-2.66777910047764,0.176464888111956,6.68615656114436e-53,5.45625395026073e-52,CALCR,protein_coding
ENSG00000006210,12317.7918360557,-1.39643407909575,0.138429606647787,6.109827092579479e-25,2.10590046060703e-24,CX3CL1,protein_coding
ENSG00000006453,2135.39499806457,1.70979590050302,0.0745871038746125,1.2530192433911399e-117,4.47655091476492e-116,BAIAP2L1,protein_coding
ENSG00000007062,10807.5076884228,1.13482660963155,0.185347961797071,1.8155114282961202e-10,3.58101169897303e-10,PROM1,protein_coding
ENSG00000007237,3220.96446199999,-1.52914083541675,0.129529216426695,2.53239362664668e-33,1.1399836157191998e-32,GAS7,protein_coding
ENSG00000008516,226.099657063653,1.31845753647017,0.146467377531506,2.6780612376666298e-20,7.86315415219271e-20,MMP25,protein_coding
ENSG00000011422,2814.1263632064,2.51766846464679,0.103223369406783,1.0010764030117999e-132,4.666236186559449e-131,PLAUR,protein_coding
ENSG00000011677,89.278677626539,5.50357160015224,0.335688159004498,4.12333876760498e-62,4.3775029301254905e-61,GABRA3,protein_coding
ENSG00000016602,109.892231691177,-1.93851271473725,0.256521416189656,1.4644191301223602e-15,3.59209631232784e-15,CLCA4,protein_coding
ENSG00000020181,2576.06484903344,-1.81437462804465,0.11140571457519,4.8630871214173205e-61,5.05130660444995e-60,ADGRA2,protein_coding
ENSG00000020577,1889.4069218399,-1.13102943431122,0.124809780328186,2.5741699640196398e-20,7.566036329180509e-20,SAMD4A,protein_coding
ENSG00000024422,10386.7479325235,-2.38438751351174,0.12173775282936,7.957993097225779e-87,1.54451153226088e-85,EHD2,protein_coding
ENSG00000033867,2749.53055894702,-1.03565134833448,0.107786999238512,1.9069452206764898e-22,6.0395571670098595e-22,SLC4A7,protein_coding
ENSG00000040731,5.62322815563158,-1.85848930504919,0.312022466961579,1.0168368176269001e-10,2.03041570312186e-10,CDH10,protein_coding
ENSG00000047617,163.911517197244,-1.04715031742047,0.164471541729082,4.8013975676060794e-11,9.7329378231668e-11,ANO2,protein_coding
ENSG00000049249,236.432548159524,3.48736677694718,0.162163805764892,1.58737085043514e-103,4.3932054770184395e-102,TNFRSF9,protein_coding
ENSG00000050438,338.608329751635,-1.27773485415087,0.15060719667408,2.93303089756405e-18,7.97577745851815e-18,SLC4A8,protein_coding
ENSG00000060140,405.721293548664,1.02541849773666,0.138411471544006,3.3736877878492604e-14,7.84427862458747e-14,STYK1,protein_coding
ENSG00000064989,2433.21830147187,-1.37990678409332,0.14728105787917,7.454716917660909e-22,2.31568251012517e-21,CALCRL,protein_coding
ENSG00000065325,107.731380776031,-1.61764393062233,0.288437920193275,1.2020687562316501e-9,2.27835221458773e-9,GLP2R,protein_coding
ENSG00000065618,6610.78887750823,-3.53499112472648,0.234149750895463,1.8355434501807e-52,1.47995637930956e-51,COL17A1,protein_coding
ENSG00000067113,2212.37066070157,-2.0488977679315,0.0978726983722997,8.60694447252573e-99,2.1616276811819498e-97,PLPP1,protein_coding
ENSG00000069849,7232.33206122551,1.19922015757132,0.0921517125147039,1.7188933383424202e-39,9.367917363159921e-39,ATP1B3,protein_coding
ENSG00000071967,17338.416410063,-2.70109009353006,0.106547685804922,5.20747439848887e-143,2.87298923617614e-141,CYBRD1,protein_coding
ENSG00000073150,470.478337036307,2.74910516700408,0.163588088605316,1.36995439633825e-64,1.54298678896812e-63,PANX2,protein_coding
ENSG00000076706,15976.5256382992,-1.67766369446916,0.118493943893521,8.22467598969234e-47,5.61674605838283e-46,MCAM,protein_coding
ENSG00000077943,426.828961505555,-1.00879720878298,0.141417392759858,2.69316607107147e-13,6.01751500171552e-13,ITGA8,protein_coding
ENSG00000080166,73.6008618832144,-2.8485174045595,0.193050764482166,1.93167842806041e-50,1.4734520810957599e-49,DCT,protein_coding
ENSG00000080200,1774.4899938377,-1.47712329388075,0.155752801579089,1.93871325368109e-22,6.13786037999843e-22,CRYBG3,protein_coding
ENSG00000080493,416.872121736974,-2.68455802606749,0.199859481347112,2.1255743058071196e-42,1.2594027761907199e-41,SLC4A4,protein_coding
ENSG00000081818,413.937920877779,-1.24186559641425,0.149746613633522,1.63877450186305e-17,4.3439915788988e-17,PCDHB4,protein_coding
ENSG00000081985,1192.78814393606,3.43552914294338,0.175675389686205,4.09684245885314e-86,7.824922594224941e-85,IL12RB2,protein_coding
ENSG00000082438,3342.28779804895,-1.64400811007702,0.105767725326079,9.30864633441909e-56,8.20946498266614e-55,COBLL1,protein_coding
ENSG00000082556,152.984477594909,3.69270558935398,0.249624359130744,1.72205290583921e-50,1.3159393390806699e-49,OPRK1,protein_coding
ENSG00000084710,590.120469017072,1.53233626432251,0.190204407643156,5.4509963225853504e-17,1.41724219901334e-16,EFR3B,protein_coding
ENSG00000085563,512.80694953462,-2.74915997086179,0.133722215695943,4.016249310008129e-95,9.334451262362819e-94,ABCB1,protein_coding
ENSG00000088726,307.69835968394,1.77746273476724,0.197682464240433,1.03259266311499e-20,3.07366650313743e-20,TMEM40,protein_coding
ENSG00000089250,26.5718659968549,-1.41035299378033,0.212622961551053,3.10525692650487e-12,6.65547806678098e-12,NOS1,protein_coding
ENSG00000089351,4596.4128748708,1.11514149808137,0.0646826503934303,2.7986746437278903e-67,3.35422352065592e-66,GRAMD1A,protein_coding
ENSG00000090339,3542.43854209992,1.54083802331949,0.133458929219045,5.23648486624436e-32,2.2634043371254497e-31,ICAM1,protein_coding
ENSG00000091262,342.521330806446,-3.2018966066674,0.143496268857094,2.8000654211390903e-111,8.97460968409667e-110,ABCC6,protein_coding
ENSG00000091482,15.6532671589363,2.83203401535502,0.256108928110716,1.24400326379579e-29,4.9899506364461996e-29,SMPX,protein_coding
ENSG00000096696,48541.7023669459,1.01486155034735,0.134059623066917,1.0111856936262701e-14,2.40327989641938e-14,DSP,protein_coding
ENSG00000096996,275.193480410931,1.61321045225448,0.145324751877159,7.087765032215999e-30,2.85803551874188e-29,IL12RB1,protein_coding
ENSG00000100346,98.6283980063336,1.20431783281679,0.187626013001239,2.25230621331783e-11,4.6354643653986097e-11,CACNA1I,protein_coding
ENSG00000101188,49.2752577238601,4.47557111408882,0.250763422007261,1.81838795997182e-72,2.47757200019804e-71,NTSR1,protein_coding
ENSG00000101445,1377.45062640179,-1.43537373620936,0.154030952016221,1.0366521897203e-21,3.20539257560152e-21,PPP1R16B,protein_coding
ENSG00000102010,197.387957307429,-3.26957354217565,0.15340286790091,9.01357686512401e-102,2.39607358466733e-100,BMX,protein_coding
ENSG00000102181,3548.35157293525,-1.2845058523272,0.0939682574025891,2.0457210264777494e-43,1.2558682127888099e-42,CD99L2,protein_coding
ENSG00000102524,1188.54773566233,1.96460132053451,0.149772650129233,8.95587839611073e-41,5.04859516821961e-40,TNFSF13B,protein_coding
ENSG00000103534,727.207391396962,-1.45466917955403,0.245844403801141,2.77903300567935e-10,5.43311123348048e-10,TMC5,protein_coding
ENSG00000104044,193.831190211907,2.09387502326953,0.221519951076463,1.0853469501342699e-22,3.4661478705464797e-22,OCA2,protein_coding
ENSG00000104814,411.126294569361,1.52272891871346,0.127135736499416,3.2867990727228898e-34,1.51525939717008e-33,MAP4K1,protein_coding
ENSG00000105143,136.781262936268,5.25204642350329,0.319222267855781,2.07262475389583e-62,2.21435280849556e-61,SLC1A6,protein_coding
ENSG00000105509,166.199147269279,-1.42125989948304,0.275496332369918,2.30229381609854e-8,4.10171498607625e-8,HAS1,protein_coding
ENSG00000105737,119.559845280217,-1.50660962789301,0.157495542216552,8.152480145094049e-23,2.61897257352993e-22,GRIK5,protein_coding
ENSG00000106113,25.900017594911,-1.35054441547558,0.165300349802855,3.39899839245489e-17,8.91998533216445e-17,CRHR2,protein_coding
ENSG00000107104,5758.99823494746,-1.03051642321128,0.10181788332157,1.16697150386002e-24,3.98389723989704e-24,KANK1,protein_coding
ENSG00000107130,2519.83211878723,1.63960599193431,0.0904148963914237,9.1152748676396e-75,1.30538493785337e-73,NCS1,protein_coding
ENSG00000107159,838.986807427038,6.54355068860293,0.225851909421755,1.10432984859116e-186,1.0381317520806399e-184,CA9,protein_coding
ENSG00000108106,1685.81529027741,3.36532541383766,0.100299130276112,9.36116589728353e-248,1.4721526967625199e-245,UBE2S,protein_coding
ENSG00000108622,435.865444277865,-1.08654711571896,0.103952509706002,3.24161376546438e-26,1.1697755700508098e-25,ICAM2,protein_coding
ENSG00000109576,444.690250005549,1.02817012327455,0.117765827386678,6.664476545417779e-19,1.85821287207531e-18,AADAT,protein_coding
ENSG00000110934,734.970437419363,1.0157674030761,0.113446272938888,9.33829797757956e-20,2.68791549895196e-19,BIN2,protein_coding
ENSG00000111452,506.917058901961,-2.39142814111797,0.191539966873768,3.43806729088716e-37,1.74353906007242e-36,ADGRD1,protein_coding
ENSG00000112655,11917.2662961485,1.80881031861811,0.106953611523412,1.45036737998179e-65,1.68080798229707e-64,PTK7,protein_coding
ENSG00000112782,688.764951259919,-2.43045145983156,0.119961285106098,1.1925606711034798e-92,2.5914709578895896e-91,CLIC5,protein_coding
ENSG00000114013,820.724070328921,1.19701902240183,0.118335101904594,7.939226470214169e-25,2.7280654240207e-24,CD86,protein_coding
ENSG00000114019,5670.28651546674,-1.38131190797277,0.0915335368634664,1.89149505732611e-52,1.52215147439629e-51,AMOTL2,protein_coding
ENSG00000114450,3710.66358739384,1.0945918461861,0.0880814464073293,4.1461080040371794e-36,2.02868739121645e-35,GNB4,protein_coding
ENSG00000115602,54.8772719245576,-1.2776617889228301,0.19481750381658,7.31794248115974e-12,1.5417430591019798e-11,IL1RL1,protein_coding
ENSG00000116014,11.1950275324491,1.7455437638439,0.264598302104024,1.91600534132233e-12,4.1387191114802194e-12,KISS1R,protein_coding
ENSG00000116117,1384.21887008137,-1.54674568939237,0.100314908735699,8.06558570204591e-55,6.93154293198807e-54,PARD3B,protein_coding
ENSG00000116824,1025.43429923074,1.45257695196245,0.164308737358087,8.027425168886129e-20,2.31495258469318e-19,CD2,protein_coding
ENSG00000117091,357.212719789031,1.02250185575366,0.145804305742612,6.2041058575217e-13,1.36769932221299e-12,CD48,protein_coding
ENSG00000117394,9656.89840967225,2.46195775869585,0.129620153414262,8.2314657954813e-82,1.41481996874938e-80,SLC2A1,protein_coding
ENSG00000117598,6.97073529904508,2.30518174678981,0.305012406284405,1.3832132874155902e-15,3.3958753993787704e-15,PLPPR5,protein_coding
ENSG00000118432,223.935294268841,-1.42855456898259,0.205272267690434,3.07926030145019e-13,6.86378501688996e-13,CNR1,protein_coding
ENSG00000118596,1808.42636984027,-2.956767694035,0.159106210791296,3.48743930240257e-78,5.40360415667846e-77,SLC16A7,protein_coding
ENSG00000118777,328.184603903655,-2.35056595406987,0.133529781361245,8.78246735164103e-71,1.15275021939207e-69,ABCG2,protein_coding
ENSG00000119888,15712.0904486479,2.00984862020231,0.14608134821694,1.5125230417557298e-44,9.564534093808198e-44,EPCAM,protein_coding
ENSG00000120156,1250.14042768178,-2.52894041583846,0.119921026430271,4.750305951487729e-100,1.2297445883951398e-98,TEK,protein_coding
ENSG00000120328,117.386144101541,-1.05269513835056,0.13751535500732,4.7588020600202504e-15,1.14640461365728e-14,PCDHB12,protein_coding
ENSG00000120903,19.2335183120926,-4.60170495866057,0.297098605510698,2.15989632082114e-55,1.8870496049043198e-54,CHRNA2,protein_coding
ENSG00000121742,206.961707266962,3.1343421222371,0.289823573137909,2.43501775654501e-28,9.38910260984943e-28,GJB6,protein_coding
ENSG00000122679,1028.80746171687,-1.34955850447118,0.122314171177993,2.91583412952533e-29,1.1591008952875699e-28,RAMP3,protein_coding
ENSG00000122707,1591.87345617452,-1.91579102657628,0.0955833865043564,8.141075163806709e-91,1.7038541266340196e-89,RECK,protein_coding
ENSG00000123384,37726.6868701931,-1.93559455446803,0.128273771679279,6.58741666736034e-53,5.37828531109522e-52,LRP1,protein_coding
ENSG00000124102,1387.02224228568,2.39725019605901,0.287773496384331,2.91789312394626e-18,7.93589584558651e-18,PI3,protein_coding
ENSG00000125257,915.366689177189,1.08307135762138,0.123904731238985,5.26552303410037e-19,1.47696209526266e-18,ABCC4,protein_coding
ENSG00000126010,112.390804063191,-3.47095125772237,0.236799003914072,1.2883454680140999e-49,9.61800762656312e-49,GRPR,protein_coding
ENSG00000126785,1235.49750112864,-1.7850795908292,0.102886859404339,8.082935263185809e-69,1.01501157965394e-67,RHOJ,protein_coding
ENSG00000127329,2257.25905843679,-2.61151954640138,0.119207478246082,1.1537108587499296e-107,3.5042405451597596e-106,PTPRB,protein_coding
ENSG00000127831,15.4497174734339,2.42745486788431,0.280431931809956,1.8226837416758498e-19,5.19395416108037e-19,VIL1,protein_coding
ENSG00000128283,7561.01229170009,1.00769064992557,0.105910330059852,5.065953412244999e-22,1.5824168937784801e-21,CDC42EP1,protein_coding
ENSG00000128596,208.216649437753,-1.14818164722647,0.134193832511336,2.23825054658032e-18,6.1161159381791195e-18,CCDC136,protein_coding
ENSG00000128849,2590.25266968336,-1.11227896132348,0.113994946152274,3.63372693993578e-23,1.1806279825892899e-22,CGNL1,protein_coding
ENSG00000129595,382.793570802705,-1.18819381197349,0.144531545650108,3.47060856449158e-17,9.10649155070947e-17,EPB41L4A,protein_coding
ENSG00000130224,199.447549516331,-1.10653132423185,0.146168710120346,7.968188213328451e-15,1.9040145280556402e-14,LRCH2,protein_coding
ENSG00000130304,2140.39970072828,-1.12909342697534,0.0799032582406244,4.9855320762304904e-46,3.3263897005047796e-45,SLC27A1,protein_coding
ENSG00000130487,3222.88783911931,4.53327766634935,0.236658602940751,4.9884308647801e-83,8.86381480059712e-82,KLHDC7B,protein_coding
ENSG00000130545,560.911285021447,1.25314590410377,0.131645865422144,2.5201599378365397e-22,7.950268330329101e-22,CRB3,protein_coding
ENSG00000130598,193.739570689725,1.11231496897064,0.1964547691818,3.12738329152237e-9,5.80203733698422e-9,TNNI2,protein_coding
ENSG00000131080,254.06383799673,-2.09157946591524,0.117593069211633,2.95549446805925e-72,4.00742187059089e-71,EDA2R,protein_coding
ENSG00000131620,6799.1788132457305,-1.68917739229266,0.13647034991431,1.67816842043893e-36,8.3397932695587193e-36,ANO1,protein_coding
ENSG00000131831,1148.0023091409,-3.02173181586836,0.116488923612302,2.08502118786726e-149,1.2851520706315897e-147,RAI2,protein_coding
ENSG00000132698,5931.90391566911,1.62832277911537,0.155416486966562,6.07596943324528e-27,2.24506670296922e-26,RAB25,protein_coding
ENSG00000132932,184.993059725371,-1.01327326145209,0.167971903450406,4.37276858506841e-10,8.475072216188221e-10,ATP8A2,protein_coding
ENSG00000133019,939.581940584029,2.55946259976985,0.19494242515724,1.0350834150347798e-40,5.829099272018149e-40,CHRM3,protein_coding
ENSG00000133216,1080.10039553053,1.85765642020694,0.136109319540017,7.73469930999614e-44,4.799107127186769e-43,EPHB2,protein_coding
ENSG00000134352,16004.2855705631,-2.28633883280448,0.0910907568917591,1.8173099137245796e-140,9.864475457497918e-139,IL6ST,protein_coding
ENSG00000134755,13138.7888477006,1.74909160300812,0.11940621197515,6.00719156443502e-50,4.51868629659133e-49,DSC2,protein_coding
ENSG00000135424,4254.77397675004,-3.56431297584766,0.166812397513966,3.0806122487266e-102,8.30728562649398e-101,ITGA7,protein_coding
ENSG00000136155,254.016477905294,2.83941818506977,0.292320607670427,1.5779420639286e-23,5.18695665358986e-23,SCEL,protein_coding
ENSG00000136160,1328.18742574307,-2.42865952403288,0.137873915330474,7.73054375879626e-71,1.01705910734374e-69,EDNRB,protein_coding
ENSG00000136286,612.401031720437,1.51278272219879,0.120262809662996,1.98285965845506e-37,1.01291983827636e-36,MYO1G,protein_coding
ENSG00000136541,114.774538502715,3.03112311585816,0.187072141908326,4.0710031812449796e-60,4.14665681179233e-59,ERMN,protein_coding
ENSG00000136546,210.21885381875,-4.28068358393279,0.220408239029398,3.7513636634700995e-85,7.0216013754406385e-84,SCN7A,protein_coding
ENSG00000136732,2608.89364839588,-1.36592947653376,0.127156205091193,6.834820015508419e-28,2.60556222023018e-27,GYPC,protein_coding
ENSG00000137571,220.489632493336,3.91275188719108,0.188049536152185,3.7537793984193796e-97,9.180936909477169e-96,SLCO5A1,protein_coding
ENSG00000137872,824.881810728146,-2.63548186471997,0.149087010011506,3.31025509016207e-71,4.39981535562063e-70,SEMA6D,protein_coding
ENSG00000138039,30.1276349641614,-4.03337263101703,0.318762056480833,9.28539837008035e-38,4.79869159623286e-37,LHCGR,protein_coding
ENSG00000138074,11024.7922446509,1.44733438948719,0.111546434169635,1.43994179774344e-39,7.86174582434421e-39,SLC5A6,protein_coding
ENSG00000139144,857.760916151842,-1.62923514327766,0.234030034459098,1.89398925871394e-13,4.2573012632085897e-13,PIK3C2G,protein_coding
ENSG00000139679,2103.39180908364,-1.41391912202562,0.0949506080232371,3.50044602174338e-51,2.72568279536677e-50,LPAR6,protein_coding
ENSG00000140450,1854.21845463196,-1.26991543735102,0.0937890134039665,1.2510372082727799e-42,7.46761372955165e-42,ARRDC4,protein_coding
ENSG00000140945,849.163842616375,-1.75665930922009,0.133997523817255,1.24818391673989e-40,7.005734078379609e-40,CDH13,protein_coding
ENSG00000141469,202.882098020547,-1.68695353871239,0.186310022784374,6.7741826914992604e-21,2.0329797066142e-20,SLC14A1,protein_coding
ENSG00000141526,2115.66519002879,2.69478187921326,0.138806096491135,3.3968264455705996e-85,6.365077795057509e-84,SLC16A3,protein_coding
ENSG00000141934,5237.44379019349,1.20821460172763,0.12297543804894,1.43644669765161e-23,4.7310801686012096e-23,PLPP2,protein_coding
ENSG00000143147,2072.96789828326,1.355239787606,0.108697489970053,1.2170291600488098e-36,6.06963535155346e-36,GPR161,protein_coding
ENSG00000143195,86.4579887717512,2.40749827451253,0.185864090190321,8.81642470044085e-40,4.8386816188623e-39,ILDR2,protein_coding
ENSG00000143217,5921.47837093771,1.78457223103193,0.144550320026388,2.1225087690340497e-36,1.0486040826933599e-35,NECTIN4,protein_coding
ENSG00000143774,10184.9272510599,1.12498224663348,0.0917071312014869,2.7894042140565e-35,1.3277879691634699e-34,GUK1,protein_coding
ENSG00000144724,2934.89922726467,-1.1726276716236,0.11536959709896,5.1602129981709995e-25,1.78480789558527e-24,PTPRG,protein_coding
ENSG00000144867,4859.06053508908,1.12635345880093,0.0602112142186758,8.94510330773221e-79,1.41200050055544e-77,SRPRB,protein_coding
ENSG00000145244,196.998565553363,1.18303692660428,0.180323465611126,9.30462005395775e-12,1.9505274903195097e-11,CORIN,protein_coding
ENSG00000145390,3145.93027985623,-1.60508414916338,0.0966466049030558,3.52361402086096e-63,3.8526220356743002e-62,USP53,protein_coding
ENSG00000146005,77.7191570856595,-1.11381412215887,0.215618336306984,4.9698611042306e-8,8.69493166987818e-8,PSD2,protein_coding
ENSG00000146013,337.394755196109,3.2005010817279,0.221530975117876,2.4926154292825598e-48,1.79859518990298e-47,GFRA3,protein_coding
ENSG00000146094,533.896680815421,1.2611233034967,0.103750069588478,7.590652621831439e-35,3.55986375885055e-34,DOK3,protein_coding
ENSG00000146197,2059.03127640493,4.06463425026223,0.210669137498611,5.410866194034489e-84,9.843096805083059e-83,SCUBE3,protein_coding
ENSG00000147100,1703.32625989279,-1.38164075463354,0.101659572695572,4.604123388912209e-43,2.7868195778858197e-42,SLC16A2,protein_coding
ENSG00000147168,603.930142219386,1.84723238203732,0.159428106778617,1.83348692905445e-32,8.04697041085009e-32,IL2RG,protein_coding
ENSG00000147257,3833.32587816265,-3.3154656051003,0.196730570802352,1.0525753547527e-64,1.19190346530442e-63,GPC3,protein_coding
ENSG00000148053,10370.8518076229,-3.03932658527491,0.180570769806897,1.22727515434822e-64,1.38413934465265e-63,NTRK2,protein_coding
ENSG00000148468,3858.25992919852,1.02882713205029,0.0921603614917096,1.6232125369253e-29,6.49092142558032e-29,FAM171A1,protein_coding
ENSG00000148700,5913.49389195778,-1.1989659932154,0.0888988783111101,3.13808348378555e-42,1.8443776032713799e-41,ADD3,protein_coding
ENSG00000149451,746.732877953903,-3.55628580205541,0.169310470703487,6.79759728941545e-99,1.7097633720327897e-97,ADAM33,protein_coding
ENSG00000149564,2244.82656538491,-1.52181577902763,0.101532825081472,6.1380594867801904e-52,4.86505543966322e-51,ESAM,protein_coding
ENSG00000150045,37.6099325474293,-1.0414361116822,0.16648442729024,9.9973934238099e-11,1.99746068798919e-10,KLRF1,protein_coding
ENSG00000150054,1262.0612138786,-1.25942157557977,0.142121713922249,1.1176555702578898e-19,3.2077077060770096e-19,MPP7,protein_coding
ENSG00000150672,206.755710405517,-1.2001684267722,0.157841259084539,4.78648434241827e-15,1.15274326649309e-14,DLG2,protein_coding
ENSG00000151276,3049.92271567746,-1.1541055764527,0.0808861278649195,6.54926158659586e-47,4.4950299394303404e-46,MAGI1,protein_coding
ENSG00000151491,4201.96227626494,-1.28123550212951,0.106902015114298,5.68392324938355e-34,2.60112527923244e-33,EPS8,protein_coding
ENSG00000151834,69.0194694019017,-3.64909541622588,0.254033340518601,9.17860625424131e-48,6.4731101190326305e-47,GABRA2,protein_coding
ENSG00000152818,9941.78198322839,-1.65762027183522,0.10629121238876,4.0442954576106396e-56,3.6102578071731696e-55,UTRN,protein_coding
ENSG00000154133,1768.57848903021,-2.20348717423629,0.101389342367415,3.4160185529341295e-106,1.0155714521240799e-104,ROBO4,protein_coding
ENSG00000154134,487.282502796513,-1.19343595437529,0.129068502018139,3.93805428996544e-21,1.1920424453543499e-20,ROBO3,protein_coding
ENSG00000154721,1715.54130897258,-2.63765235276067,0.1078201056795,1.9691905917466095e-133,9.386847050232348e-132,JAM2,protein_coding
ENSG00000154783,2109.64650017173,-1.23462808946985,0.129110616053833,1.7434084370861e-22,5.52889818523328e-22,FGD5,protein_coding
ENSG00000155307,517.630543467869,1.08250906709873,0.124166788602948,6.460848050096659e-19,1.8035283699233e-18,SAMSN1,protein_coding
ENSG00000155886,80.7555702764214,3.42428954342856,0.210779447524461,2.59498754408551e-60,2.65445929509586e-59,SLC24A2,protein_coding
ENSG00000156222,80.7876782052845,2.17954362833928,0.19730519845082,7.543176348108229e-30,3.04021624933215e-29,SLC28A1,protein_coding
ENSG00000156738,580.190534586598,2.56846262514281,0.260652404574638,2.90803994042108e-24,9.79651412962273e-24,MS4A1,protein_coding
ENSG00000157404,8695.3461332432,-1.94943066564772,0.178933500903273,4.22777543108893e-29,1.67193365872934e-28,KIT,protein_coding
ENSG00000158296,380.335241228452,1.04968294494727,0.128589515187969,8.12282258870122e-17,2.09958119354955e-16,SLC13A3,protein_coding
ENSG00000160255,5932.56050747372,1.0891586031691,0.128179778969329,4.36273546220848e-18,1.1783587419355101e-17,ITGB2,protein_coding
ENSG00000160410,3113.69286788765,1.11551485074873,0.077856490680363,3.08832228516985e-47,2.14386134870269e-46,SHKBP1,protein_coding
ENSG00000161031,47.3853190803483,-2.59497765229945,0.247967931284564,5.77483501523526e-27,2.1356736000299698e-26,PGLYRP2,protein_coding
ENSG00000161714,1912.92031503839,-1.03820188002145,0.107920677685789,1.6904247859572698e-22,5.36390304984029e-22,PLCD3,protein_coding
ENSG00000161798,2447.4886680054,2.12867978085392,0.270216257678062,1.08671379066218e-16,2.79177602373626e-16,AQP5,protein_coding
ENSG00000162520,195.499343406922,-1.96120303073457,0.138772900575452,8.186531812749751e-47,5.59523845707311e-46,SYNC,protein_coding
ENSG00000162769,1270.26859984398,1.51287676167083,0.0781885168764071,1.4870827770910298e-84,2.7317840491387297e-83,FLVCR1,protein_coding
ENSG00000162944,364.188218040518,-1.38280317902323,0.12942469045486,1.22069705051372e-27,4.61277100134612e-27,RFTN2,protein_coding
ENSG00000163285,7.51218060033463,-1.66327795783507,0.322042941853191,1.30922573294479e-8,2.35769920893215e-8,GABRG1,protein_coding
ENSG00000163513,13034.588324714,-2.54450136963173,0.101397603404142,2.7607887336352194e-140,1.4937553704463e-138,TGFBR2,protein_coding
ENSG00000163519,98.7493108456882,1.45998377502193,0.196796102482035,9.8115238563599e-15,2.3335478718158e-14,TRAT1,protein_coding
