gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,GeneSymbol,GeneBiotype
ENSG00000003989,17656.510290336,1.60202035971172,0.172927516524458,1.83363011316698e-21,5.6940286524723996e-21,SLC7A2,protein_coding
ENSG00000004948,41.5033572683462,-1.30402534370952,0.165027010599235,2.2531615545957797e-16,5.7321628547779e-16,CALCR,protein_coding
ENSG00000006210,5907.19895983201,-2.88345860428405,0.118212727829848,1.2028904027938298e-132,8.959936743642188e-131,CX3CL1,protein_coding
ENSG00000006747,1004.32648172137,1.15356792985996,0.182649674626848,2.7139064741415598e-11,5.600135031343349e-11,SCIN,protein_coding
ENSG00000007062,2398.61822911822,-1.87832670172959,0.204695326380086,5.47680516657669e-21,1.6699246182603198e-20,PROM1,protein_coding
ENSG00000007306,38.2933135539347,1.33452394374497,0.186087359182812,6.01704762671614e-14,1.39135961192499e-13,CEACAM7,protein_coding
ENSG00000008323,862.604125365323,-1.06539253960799,0.0905045406466468,6.64001184771606e-33,3.06492896749252e-32,PLEKHG6,protein_coding
ENSG00000008516,285.095385823332,1.39660293770765,0.159399535136365,1.5303972590743299e-19,4.39936944317918e-19,MMP25,protein_coding
ENSG00000009765,117.068849171837,1.20620047007788,0.239281454515786,4.33563576006534e-8,7.71278583799429e-8,IYD,protein_coding
ENSG00000010810,2042.30119814048,-1.0678605692208,0.0791694407069597,2.2135721033283e-42,1.35453554298178e-41,FYN,protein_coding
ENSG00000011422,1672.88983843377,1.3454587048955,0.0915727146609628,5.612657578233499e-50,4.29080280072583e-49,PLAUR,protein_coding
ENSG00000011677,10.057423258983,1.83401366281783,0.346921649586907,1.08052409261215e-8,1.97970641870189e-8,GABRA3,protein_coding
ENSG00000016602,49.73176707526,-3.70355489653353,0.20662470885299,1.70196783747876e-73,2.44253423496312e-72,CLCA4,protein_coding
ENSG00000020181,2555.5088445348,-1.2300007655269,0.0877623866894011,1.0758075321882499e-45,7.21807253760741e-45,ADGRA2,protein_coding
