gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,GeneSymbol,GeneBiotype
ENSG00000003989,15863.1550579848,1.58001066289576,0.190529136626252,9.09227240072778e-18,2.30337567485104e-17,SLC7A2,protein_coding
ENSG00000004948,51.4488690115891,-1.44527437854674,0.196237021899701,1.64031170435564e-14,3.69454204323292e-14,CALCR,protein_coding
ENSG00000005961,87.8490327892692,1.24258138799408,0.147887825814396,5.2513004947703395e-18,1.3422470775730901e-17,ITGA2B,protein_coding
ENSG00000006210,8756.11430357067,-4.04808089408574,0.117155318977247,1.59747015898767e-262,2.8307171217261398e-260,CX3CL1,protein_coding
ENSG00000006453,1608.53408652165,1.0302982711294,0.0866920179856197,2.4721113087197898e-33,1.0232486297267998e-32,BAIAP2L1,protein_coding
ENSG00000006652,535.021078167568,-1.01864497208972,0.0765813383232103,4.03736882130924e-41,2.09058956437772e-40,IFRD1,protein_coding
ENSG00000006747,977.835004930498,1.2156463925141,0.207043318715129,5.35371637565669e-10,1.0066398019413e-9,SCIN,protein_coding
ENSG00000007062,3456.75115106234,-1.80360165207733,0.280712582652511,8.72737594668032e-12,1.76646202580758e-11,PROM1,protein_coding
ENSG00000007237,3385.10392646266,-1.64009352591435,0.109012801981003,3.04279215380076e-52,2.08136379996269e-51,GAS7,protein_coding
ENSG00000007306,43.5480974229507,1.68371112524757,0.232778747952543,3.4891849529879995e-14,7.762249173860171e-14,CEACAM7,protein_coding
ENSG00000007312,115.618901558174,-1.2321876830257,0.149814753898318,2.37840970524227e-17,5.92630979544824e-17,CD79B,protein_coding
ENSG00000009765,217.955179886592,1.78567401993259,0.286472135416026,3.04403794151471e-11,6.030756114800359e-11,IYD,protein_coding
ENSG00000010810,2294.98001176285,-1.39123541335051,0.0912162318731025,1.62985536636892e-53,1.1489524806304201e-52,FYN,protein_coding
ENSG00000011422,1561.88621860612,1.36340590919743,0.107675231431716,1.00129854275795e-37,4.70965623604006e-37,PLAUR,protein_coding
ENSG00000011677,43.1466643150406,4.26350901276003,0.38812623683157,4.90494708654997e-29,1.7864534672216e-28,GABRA3,protein_coding
ENSG00000015133,4037.9138107314,1.01742135178612,0.0855422675488039,2.27539398419691e-33,9.42983316838276e-33,CCDC88C,protein_coding
ENSG00000016602,83.7328240464796,-5.71728638367849,0.253643117695803,8.521973163364319e-114,1.85827585792843e-112,CLCA4,protein_coding
ENSG00000020181,2693.16047929047,-1.94792849814756,0.096951913366585,5.846913026958779e-91,8.44141800135713e-90,ADGRA2,protein_coding
ENSG00000020577,1554.31771943901,-2.23203061206717,0.10171753909357,6.18027839814959e-108,1.2415132047070398e-106,SAMD4A,protein_coding
ENSG00000024422,11210.5194728068,-2.34581445973249,0.100342724742817,4.4218661184785696e-122,1.08668166771486e-120,EHD2,protein_coding
ENSG00000026103,831.868389707415,-1.04305588038783,0.0965750547522386,5.79492434807735e-28,2.0506991060654598e-27,FAS,protein_coding
ENSG00000027697,6025.31925627087,-1.22531941795414,0.0611371065309503,2.93946233606247e-90,4.204155392121979e-89,IFNGR1,protein_coding
ENSG00000040731,6.98738006379288,-1.24161141865544,0.337266482407659,2.7698895807867e-5,4.13518279558029e-5,CDH10,protein_coding
ENSG00000049249,135.382512059003,2.44982852473292,0.167825957451638,1.79785877033429e-49,1.14727651780922e-48,TNFRSF9,protein_coding
ENSG00000049540,4144.51993669368,-1.63747014981293,0.146571454976989,4.507749715757779e-30,1.69458371404793e-29,ELN,protein_coding
ENSG00000050438,1740.19762843083,1.96462460604869,0.145043032258634,5.554321339044929e-43,3.00454516135869e-42,SLC4A8,protein_coding
ENSG00000056291,25.5943301262505,1.12891953591834,0.271994123233617,4.82280411638416e-6,7.50096529692368e-6,NPFFR2,protein_coding
ENSG00000059804,2182.99978540798,-1.25781510865443,0.122099129711674,8.17395939607495e-26,2.70069543618304e-25,SLC2A3,protein_coding
ENSG00000061337,984.620929480905,-1.05788742510407,0.100837604415287,1.56048501890995e-26,5.26964991140021e-26,LZTS1,protein_coding
ENSG00000064989,2629.02180769906,-1.39166049791181,0.123931592249058,2.9566173900840197e-30,1.1169590921156699e-29,CALCRL,protein_coding
