"Gene1","Gene2","Correlation"
"CD2","CD48",0.934436450660487
"CD2","ICOS",0.92442795526294
"ICOS","TRAT1",0.903552087499375
"CD48","TRAT1",0.901640477055991
"CD2","TRAT1",0.901533186086496
"CD2","IL2RG",0.896612175336374
"ESAM","ROBO4",0.896043871025638
"CD2","IL12RB1",0.88465352543229
"ICOS","SAMSN1",0.883530792747037
"CD48","ICOS",0.880077708429778
"ARHGEF15","ESAM",0.879096208619373
"CD48","SAMSN1",0.878405897089086
"ARHGEF15","ROBO4",0.877453824776023
"SAMSN1","TNFRSF9",0.871285181200396
"CCR4","TRAT1",0.869223815182269
"CCR4","ICOS",0.867969020592091
"CD48","TNFRSF9",0.867265823388116
"CCR2","CD48",0.866533240003822
"CCR2","CD2",0.864643550288762
"CD48","IL2RG",0.862825078015757
"CCR2","CCR4",0.862587687329606
"CD2","SAMSN1",0.859477099332282
"PTPRB","TEK",0.859334556692978
"CD48","IL12RB1",0.857275347639708
"SAMSN1","TRAT1",0.855212751973277
"ARHGEF15","CDH5",0.855204738376544
"CCR2","TRAT1",0.852877800812805
"CCR2","ICOS",0.849965957273976
"CCDC69","CD48",0.84703445593378
"MYO1G","SAMSN1",0.846073353144423
"IL12RB1","SAMSN1",0.844762431398963
"ICOS","TNFRSF9",0.842646857890336
"IL12RB1","MYO1G",0.841609058363668
"CCR2","SAMSN1",0.840775073933875
"CCDC69","CCR2",0.839364877196687
"CD48","MYO1G",0.837443894376512
"CD2","TNFRSF9",0.837262644120207
"ICOS","IL12RB1",0.830992496144951
"ADAM12","FILIP1L",0.827430754688137
"CCR4","CD2",0.827398900240934
"CCR4","CD48",0.825679744271657
"CDH5","TEK",0.821651686801683
"CDH5","ROBO4",0.821074518348711
"DOK3","MYO1G",0.820033941444372
"CCDC69","CD2",0.819150119319177
"CCR2","TNFRSF9",0.81864285729505
"CCR4","SAMSN1",0.815031177371439
"TNFRSF9","TRAT1",0.814778512031527
"CCDC69","MS4A1",0.813737912430817
"MS4A1","TRAT1",0.813675206629061
"CCR4","MS4A1",0.813366885861704
"CD48","MS4A1",0.812992704410173
"CCDC69","SAMSN1",0.80727533050246
"IL12RB1","IL2RG",0.805262189782262
"CD248","ESAM",0.804319696579841
"CD2","MYO1G",0.801497957518471
"CDH5","ESAM",0.798789775161609
"CCR4","TNFRSF9",0.798262086437283
"CD48","DOK3",0.796146847581656
"MYO1G","TNFRSF9",0.793722721519115
"CCDC69","CCR4",0.792517173695048
"CCDC69","TRAT1",0.789775650068833
"CALCRL","TEK",0.789382675703448
"MYO1G","SIGLEC7",0.789197099482741
"IL2RG","TRAT1",0.788952405927825
"ICOS","MYO1G",0.787608489622492
"ICOS","IL2RG",0.787295694903481
"CCDC69","MYO1G",0.785407762461391
"CD248","ROBO4",0.784384789936405
"ABCB1","TRAT1",0.784170236176356
"CCDC69","ICOS",0.783719782800372
"IL12RB1","TRAT1",0.773484678836269
"IL12RB1","TNFRSF9",0.773021428267201
"SAMSN1","SIGLEC7",0.771999609550627
"CCDC69","IL2RG",0.768013792839119
"ABCB1","CCDC69",0.767817636287521
"CCR2","MYO1G",0.765824399338808
"DOK3","IL12RB1",0.765145305477126
"B3GALT2","GRIK1",0.76412154798981
"ARHGEF15","KANK3",0.763811648750465
"ARHGEF15","RAMP3",0.760788377581865
"CD48","HSH2D",0.760599575406712
"CD2","MS4A1",0.75780638302722
"HSH2D","IL2RG",0.757313331109489
"CCR2","IL12RB1",0.75655046988096
"CD48","MAP4K1",0.754515223134679
"DOK3","IL2RG",0.752879009836946
"CD2","HSH2D",0.752504826362896
"CCR2","MS4A1",0.75146223389154
"IL2RG","TNFRSF9",0.750521770456088
"ABCB1","CCR4",0.746407023350072
"ARHGEF15","TEK",0.746217088446117
"ABCB1","MS4A1",0.746104126681496
"CCDC69","DOK3",0.745830337060284
"CCR2","IL2RG",0.744910461507405
"KANK3","RAMP3",0.744119075202356
"MAP4K1","MYO1G",0.743984195652459
"MYO1G","TRAT1",0.742954105852706
"ARHGEF15","CD248",0.740649148940742
"IL12RB1","SIGLEC7",0.73896868163073
"DOK3","SAMSN1",0.738821235590614
"PTPRB","TGFBR2",0.738353007162804
"CCDC69","IL12RB1",0.737829251560405
"HSH2D","ICOS",0.737791200697001
"CORIN","SLC24A2",0.737369002139987
"CCR4","MYO1G",0.736931529905721
"CD2","DOK3",0.736881618489125
"NECTIN4","RAB25",0.736319994219632
"ICOS","MS4A1",0.734453615160364
"LRP1","THBS2",0.734406123847566
"IL2RG","SAMSN1",0.734138659081808
"MAP4K1","TRAT1",0.7324486803079
"ESAM","KANK3",0.731981960540444
"CCDC69","TNFRSF9",0.731143143692358
"HSH2D","IL12RB1",0.73024799882205
"ABCB1","CD48",0.728876187315195
"HSH2D","MYO1G",0.72719165275812
"ABCB1","CCR2",0.725141402666215
"ADAM12","LRP1",0.723486461559283
"TEK","TGFBR2",0.722577883108352
"IL2RG","MYO1G",0.721654951762436
"GNB2","GUK1",0.720812773517318
"CD2","MAP4K1",0.719188840216132
"DOK3","TNFRSF9",0.718892466750648
"IL2RG","MS4A1",0.717285432222402
"CDH5","PTPRB",0.71526760016044
"ADGRA2","LRP1",0.715040928647237
"DOK3","SIGLEC7",0.712264874456498
"FILIP1L","PTPRB",0.710480325205911
"CALCRL","PTPRB",0.709948463580429
"SIGLEC7","TNFRSF9",0.707671216707528
"FILIP1L","SLIT3",0.706524896579289
"CD248","EHD2",0.705557023894679
"CLDN18","GRIK1",0.703307347949805
"CD48","SIGLEC7",0.703284700065401
"CCDC69","MAP4K1",0.702716410014366
"CCDC69","HSH2D",0.702537036478976
"CFL1","GNB2",0.70111895904516
"CRYBG3","UTRN",0.700726624724554
"ADAM12","SLIT3",0.70028999487071
"CRB3","RAB25",0.699885465643703
"CSF1","IL12RB1",0.699302731084502
"APOBR","DOK3",0.697919339344146
"ABCB1","SAMSN1",0.697187991716906
"ARHGEF15","RHOJ",0.696917864393848
"RHOJ","TEK",0.696881809547592
"ABCB1","ICOS",0.695920537201319
