"Gene1","Gene2","Correlation"
"CD2","IL2RG",0.948260954081929
"CD2","CD48",0.93779030938061
"CD2","TRAT1",0.937145362588913
"IL12RB1","MAP4K1",0.936101534938002
"CD48","TRAT1",0.935849755725991
"CD2","IL12RB1",0.931599653189035
"CD48","IL2RG",0.925908975397817
"CD2","ICOS",0.923145708948622
"CD48","MAP4K1",0.914034796720717
"CD48","IL12RB1",0.912033792525922
"CD2","MAP4K1",0.910086805328457
"IL12RB1","IL2RG",0.906670445334695
"IL12RB1","MYO1G",0.905955352318319
"IL2RG","MAP4K1",0.904510183698274
"ESAM","ROBO4",0.901260227755408
"PTPRB","TEK",0.895969621637876
"MAP4K1","MYO1G",0.895615323733678
"ARHGEF15","CDH5",0.890402986714067
"MAP4K1","TRAT1",0.885796889973296
"IL12RB1","TRAT1",0.885491572578634
"ICOS","IL2RG",0.883962203942023
"ICOS","TRAT1",0.88363435768371
"ARHGEF15","ROBO4",0.883562738215586
"CCR4","TRAT1",0.88142147891605
"IL2RG","TRAT1",0.881360472684746
"CD48","ICOS",0.880774413340045
"ICOS","IL12RB1",0.87544233070622
"CDH5","ROBO4",0.875045666338791
"SAMSN1","TNFSF13B",0.870294758635924
"ICOS","SAMSN1",0.861898907449711
"CCR4","PPP1R16B",0.861492377008241
"CALCRL","TEK",0.858975092286233
"MS4A1","TRAT1",0.85802366363783
"CD48","MYO1G",0.855147312985046
"ARHGEF15","ESAM",0.85512818707251
"PPP1R16B","TRAT1",0.854822053168031
"IL12RB1","SAMSN1",0.850766537908688
"CCDC69","MAP4K1",0.850612346135004
"CD48","SAMSN1",0.850434743744418
"CD48","MS4A1",0.8488555767552
"ADAM12","LRP1",0.848034753699374
"CCR4","CD2",0.846750111381413
"ICOS","TNFRSF9",0.844571536046877
"MAP4K1","MS4A1",0.843496358798554
"SAMSN1","TNFRSF9",0.842946502720598
"CCR4","ICOS",0.840641649446735
"SAMSN1","TRAT1",0.839972451343921
"CCDC69","IL12RB1",0.839335060823257
"AQP1","ARHGEF15",0.838957403589118
"CD2","SAMSN1",0.838724494710426
"ADAM12","THBS2",0.838274062514416
"ICOS","MAP4K1",0.837945184502941
"ABCB1","TRAT1",0.835127552506636
"LRP1","THBS2",0.834221347716018
"CD2","MYO1G",0.833099396384203
"DOK3","MYO1G",0.831266071520054
"CCDC69","CD2",0.830678352265392
"CDH5","TEK",0.829027671680711
"CDH5","RHOJ",0.825109996899867
"LRCH2","NT5E",0.823838784449697
"CDH5","ESAM",0.823574241195852
"CCDC69","CD48",0.821198364041289
"IL2RG","MYO1G",0.820588561880653
"DOK3","IL12RB1",0.819707639711009
"MYO1G","SAMSN1",0.816719547191382
"ICOS","TNFSF13B",0.814880284730115
"CCDC69","TRAT1",0.814872557700157
"CD2","TNFRSF9",0.814407854409145
"ABCB1","CCR4",0.813438531020264
"TNFRSF9","TNFSF13B",0.812678374453105
"ADAM12","RECK",0.81262136836236
"ICAM2","IL12RB1",0.812498576501315
"RECK","SLIT3",0.811941677775106
"ICOS","MYO1G",0.811454577901274
"CALCRL","PTPRB",0.811118379559843
"PPP1R16B","SAMSN1",0.811102278941696
"LRCH2","RECK",0.811074016897193
"ADAM12","FILIP1L",0.810158382984954
"SAMSN1","SIGLEC7",0.810026739284494
"GAS7","SLIT3",0.809462110046157
"LRP1","XYLT1",0.809202961574489
"CCDC69","IL2RG",0.809066451714383
"GAS7","TGFBR2",0.80796739036795
"CD48","PPP1R16B",0.807434548964157
"CD48","ICAM2",0.807407195642279
"CDH5","PTPRB",0.805262725677055
"FBLN2","LRP1",0.804757793441805
"CMTM7","IL2RG",0.80408130175578
"CDH5","LOXHD1",0.803033877967644
"MS4A1","PPP1R16B",0.802905558419654
"IL12RB1","PPP1R16B",0.802463550916082
"GAS7","LRP1",0.80195757644197
"CCR4","IL12RB1",0.801911112353491
"CD2","MS4A1",0.801239232086098
"IL2RG","MS4A1",0.799876421175284
"GNG2","SAMSN1",0.799799436134693
"CCR4","SAMSN1",0.799499064104165
"CCR4","CD48",0.798628559034432
"DOK3","MAP4K1",0.798618225817496
"DOK3","IL2RG",0.79826268455443
"MAP4K1","PPP1R16B",0.797922405644926
"CCR2","ICOS",0.797854480508431
"ICAM2","MAP4K1",0.797764674730354
"TNFRSF9","TRAT1",0.796794943388773
"FILIP1L","NT5E",0.796367304279973
"CCDC69","PPP1R16B",0.796242253176316
"ABCB1","PPP1R16B",0.794408822490554
"LRP1","SLIT3",0.794290969908776
"ABCB1","MS4A1",0.794141918553928
"JAM2","TGFBR2",0.793170864595168
"GYPC","ICAM2",0.792127859098117
"CLIC5","PPP1R16B",0.79210945150206
"GAS7","RECK",0.79071059992493
"ICOS","PPP1R16B",0.790587811698578
"FILIP1L","LRCH2",0.790436600660088
"IL2RG","SAMSN1",0.789144762877313
"ABCB1","CD2",0.789038459208383
"LRP1","RECK",0.78854259273385
"CCR4","MAP4K1",0.787970952724678
"MYO1G","TRAT1",0.787383761460406
"CCR4","MS4A1",0.787002401506562
"ARHGEF15","TEK",0.786286093834504
"CD2","PPP1R16B",0.785549000107163
"IL12RB1","TNFRSF9",0.784166034132177
"CD48","DOK3",0.783224201485016
"CCR4","CLIC5",0.782766803976861
"FILIP1L","RECK",0.782409330076702
"THBS2","XYLT1",0.782200274756467
"CCR2","CD2",0.78150794301577
"CLDN19","COL17A1",0.781300060848374
"CCDC69","ICAM2",0.779932947993014
"SLIT3","TGFBR2",0.779211641097579
"GNG2","ZDHHC2",0.778774217760552
"ABCB1","CD48",0.7775239904821
"ICAM2","IL2RG",0.777077122884414
"AQP1","ROBO4",0.776564409991852
"NT5E","RECK",0.775445746834987
"ARHGEF15","LOXHD1",0.774981850925631
"CSPG4","MCAM",0.774921400185915
"CCR2","TRAT1",0.774677307512289
"FBLN2","SLIT3",0.774540397194235
"MCAM","ROBO4",0.774263191141375
"ADAM12","XYLT1",0.773718387128738
"MAP4K1","SAMSN1",0.773582330812191
"IL2RG","TNFRSF9",0.773568388931059
"CMTM7","MYO1G",0.773337183265486
"AQP1","CDH5",0.772610306525546
"DOK3","ICOS",0.772401109328788
"ICOS","MS4A1",0.772236753121578
"CDH13","THBS2",0.772055830425255
"CLIC5","TRAT1",0.77016544291927
"CD2","TNFSF13B",0.76980808259284
"CD48","TNFRSF9",0.769664868223428
"CD2","CMTM7",0.769333366723783
"CMTM7","IL12RB1",0.768247633067246
"IL12RB1","MS4A1",0.767573105071837
"DOK3","SAMSN1",0.767427075765221
"ESAM","RHOJ",0.767206686160365
"ADAM12","DSEL",0.76680487206272
"ESAM","MCAM",0.766226408197455
"RHOJ","TEK",0.76621642047538
"ABCB1","CCDC69",0.765654853343744
"ADAM12","LRCH2",0.765578217308904
"FILIP1L","THBS2",0.765353666197733
"LRCH2","RFTN2",0.764593053059299
"ARHGEF15","RHOJ",0.764053731396551
"ADGRA2","LRP1",0.763937115687632
"ABCB1","CLIC5",0.762998755391284
"RHOJ","ROBO4",0.762736398765286
"CD2","ICAM2",0.762286142638052
"SIGLEC7","TNFSF13B",0.762136188218654
"RECK","THBS2",0.762133350785034
"MYO1G","TNFRSF9",0.761873392970457
"MYO1G","PPP1R16B",0.761728406124187
"CCR2","MAP4K1",0.760947501298416
"GNG2","TNFSF13B",0.760351077706568
"RFTN2","SLIT3",0.759553147755188
"MYO1G","SIGLEC7",0.759247070343266
"CD48","CMTM7",0.758882263508776
"CCR2","IL2RG",0.75806068844898
"KANK3","RAMP3",0.757102872784608
"CD48","TNFSF13B",0.756859149594146
"IL12RB1","TNFSF13B",0.756833455659079
"GNG2","ICAM2",0.756757621329901
"TNFSF13B","TRAT1",0.754920970340861
"CCR2","CD48",0.753842133985091
"CD2","DOK3",0.752784524585771
"CCR2","IL12RB1",0.752403923148803
"EHD2","LRP1",0.752367533084661
"CDH13","FILIP1L",0.751711405782011
"CMTM7","MAP4K1",0.750195918982776
"ADAM33","MRGPRF",0.750063731468119
"LOXHD1","ROBO4",0.749732887002552
"FILIP1L","SLIT3",0.74815909695479
"RECK","TGFBR2",0.748053646835569
"CCR2","SAMSN1",0.747419865314805
"CCDC69","ICOS",0.746961062671818
"ARHGEF15","RAMP3",0.74626131487641
"CCDC69","MYO1G",0.745850293939984
"LRCH2","LRP1",0.744288185140178
"ABCB1","MAP4K1",0.744277939151825
"ICAM2","MYO1G",0.744154817638197
"AQP1","RHOJ",0.743219776334948
"ADGRA2","EHD2",0.74280543638496
"CCR4","IL2RG",0.742354167991275
"PTPRB","RHOJ",0.741861100763001
"CCR2","CCR4",0.741779380899194
"GNG2","TRAT1",0.741280712671704
"EPB41L2","TGFBR2",0.740405250295964
"CCDC69","CCR4",0.739851955497761
"CCR4","TNFRSF9",0.739068735084406
"CCDC69","SAMSN1",0.73831673968055
"ADGRA2","SLIT3",0.737817704157185
"JAM2","PTPRB",0.737699314849859
"MYO1G","TNFSF13B",0.736717356897459
"AQP1","RAMP3",0.736629120648012
"ADAM12","FBLN2",0.736445603902577
"CCR4","MYO1G",0.73642184296121
"GNG2","PPP1R16B",0.735406319775757
"MAP4K1","TNFRSF9",0.734965815244426
"CMTM7","ICAM2",0.73437264466347
"SAMSN1","ZDHHC2",0.732951981600152
"EPB41L2","GAS7",0.732502988104886
"DSEL","LRP1",0.731904762402122
"LRCH2","SLIT3",0.731839664336605
"FBLN2","MRGPRF",0.731489701086196
"CCDC69","MS4A1",0.730884399438326
"LOXHD1","RHOJ",0.730611549992757
"NT5E","SLIT3",0.730476262981435
"CCR2","PPP1R16B",0.728708941353488
"CCDC69","CCR2",0.728398918625876
"CCR4","GNG2",0.728394164332008
"DSEL","RECK",0.728219826771524
"GAS7","GNG2",0.728159667208798
"LRCH2","THBS2",0.727088570295557
"AQP1","ESAM",0.726665499698314
"ABCB1","IL12RB1",0.725562422801181
"ICAM2","TRAT1",0.725107701759207
"FILIP1L","RFTN2",0.724920724793719
"DOK3","ICAM2",0.72455213262886
"ABCB1","IL2RG",0.724534237583042
"AQP1","BMX",0.724399234810101
"CCDC69","CLIC5",0.723766475315223
"EPB41L2","RECK",0.723660963716377
"CD48","GNG2",0.722857353102393
"ADAM12","SLC24A2",0.721030832261043
"LRCH2","TGFBR2",0.720461946740329
"JAM2","SLIT3",0.720235564415851
"CCR2","MYO1G",0.720111859115776
"ADGRA2","GAS7",0.71777951849979
"IL12RB1","SIGLEC7",0.717523123155206
"GNG2","TGFBR2",0.717294629238023
"JAM2","RFTN2",0.717133028059431
"AQP1","TEK",0.716921026845958
"CMTM7","ICOS",0.716865564890296
"IL2RG","PPP1R16B",0.716308078574744
"CDH5","JAM2",0.716206895394176
"ADGRA2","RECK",0.715545918273185
"CMTM7","DOK3",0.714773095258557
"ICAM2","SAMSN1",0.71369593961448
"NT5E","THBS2",0.712604019352907
"GNG2","GYPC",0.712357090100995
"ADAM12","CDH13",0.712353900919648
"IL2RG","TNFSF13B",0.712224923963845
"EHD2","RECK",0.711726415057453
"DOK3","TNFSF13B",0.7113676966858
"EDNRB","PLPP1",0.710795360850083
"FILIP1L","TGFBR2",0.710583946495251
"FILIP1L","LRP1",0.710358099974961
"GYPC","KANK3",0.710204696180364
"PPP1R16B","TNFRSF9",0.70982409305234
"ICAM2","RAMP3",0.70970936243351
"CLIC5","TEK",0.709315046527066
"CD2","CLIC5",0.70927975328894
"ADAM12","SLIT3",0.707017897407271
"DSEL","PTPRG",0.705560094167316
"ADAM12","GAS7",0.70535862530353
"GAS7","LRCH2",0.705209278164967
"ICAM2","PPP1R16B",0.705147373986335
"CSF1","GYPC",0.705025609428513
"JAM2","RHOJ",0.704893935536834
"ARHGEF15","ICAM2",0.704842585902749
"CMTM7","SAMSN1",0.704209222581487
"GNG2","JAM2",0.703210903574152
"FBLN2","FILIP1L",0.702909721120215
"FBLN2","GAS7",0.702620843480297
"CCR2","TNFSF13B",0.701327094003874
"CCR2","TNFRSF9",0.700653556069877
"NT5E","TGFBR2",0.700155902790815
"GNG2","IL12RB1",0.700000953446816
"EPB41L2","LRP1",0.699927097869274
"ARHGEF15","PTPRB",0.699820142321735
"CSF1","TNFSF13B",0.698924358401193
"ADGRA2","CDH5",0.698651026259035
"ADAM12","PTPRG",0.697477018250639
"ADAM12","EHD2",0.696560128845867
"FBLN2","RECK",0.695489758354551
"SLIT3","THBS2",0.695355790617016
"GYPC","RAMP3",0.695208271130809
"ADGRA2","RHOJ",0.694810335340049
"LRP1","TGFBR2",0.693074138800165
"DOK3","SIGLEC7",0.693041889849948
"MS4A1","MYO1G",0.693039090405408
"GNG2","SIGLEC7",0.692773392139397
"LRP1","NT5E",0.692453017395107
"EHD2","SLIT3",0.692442472149895
"GAS7","JAM2",0.691956739070416
"CALCRL","CDH5",0.691399549991775
"EHD2","FBLN2",0.691194721005616
"CCDC69","DOK3",0.691026275566103
"JAM2","TEK",0.690690883806383
"RECK","RFTN2",0.689835675443316
"FILIP1L","PTPRG",0.689537763787865
"ITGA7","KANK3",0.689459150750745
"CORIN","THBS2",0.688773402452173
"GYPC","IL12RB1",0.688346768641444
"DOK3","TNFRSF9",0.68793925562968
"LRCH2","SLC24A2",0.687847074029343
"CD248","ROBO4",0.687665908103192
"AQP1","ICAM2",0.687630535292585
"FBLN2","THBS2",0.686956460040895
"CDH5","MCAM",0.686145183102177
"GNG2","MYO1G",0.685884561015059
"NT5E","RFTN2",0.685872994580841
"AQP1","PTPRB",0.68522420433203
"AQP1","JAM2",0.683096989969605
"RAMP3","ROBO4",0.683066599317942
"ADGRA2","THBS2",0.682178130876977
"BMX","TEK",0.681925863049283
"MS4A1","SAMSN1",0.681279173130109
"GNG2","MAP4K1",0.681189910475389
"EHD2","RHOJ",0.680573658177613
"AQP1","PLPP1",0.67944120376133
"DOK3","TRAT1",0.67836551326732
"CCR2","MS4A1",0.678257966101729
"AQP1","EDNRB",0.677816012607937
"TNFSF13B","ZDHHC2",0.677350238452262
"ABCB1","ICAM2",0.677183713939498
"CSPG4","ESAM",0.675917380472699
"CD2","GNG2",0.675393225541476
"CORIN","NT5E",0.674114029353359
"ABCB1","ICOS",0.67407750773601
"CORIN","RECK",0.673454765751901
"SLC16A7","TGFBR2",0.673292902574342
"GNG2","TNFRSF9",0.67192827394669
"ADAM12","NT5E",0.671704065360451
"ABCB1","SAMSN1",0.671392214803865
"EHD2","MRGPRF",0.671283769198179
"PTPRB","TGFBR2",0.670970289077594
"JAM2","PLPP1",0.670831421211173
"GYPC","MYO1G",0.670825184867105
"MS4A1","TNFRSF9",0.670399101055004
"DSEL","THBS2",0.670357171466136
"CMTM7","TRAT1",0.670050226386707
"CD48","CLIC5",0.669196331626546
"CD48","SIGLEC7",0.669028114452924
"EPB41L2","LRCH2",0.668679265791337
"ESAM","LOXHD1",0.668519429498287
"GYPC","MAP4K1",0.668129835196052
"MRGPRF","SLIT3",0.66755004007165
"TGFBR2","ZDHHC2",0.667545243513015
"SLC24A2","THBS2",0.666011609826419
"B3GALT2","TRAT1",0.665714813404803
"CDH13","NT5E",0.665017409518898
"RFTN2","TGFBR2",0.664904229116337
"SIGLEC7","TNFRSF9",0.664653530077235
"ADGRA2","LOXHD1",0.66417102977735
"ADGRA2","MCAM",0.664027272588606
"CALCRL","CLIC5",0.663762101963925
"ICOS","SIGLEC7",0.663722643231012
"CLIC5","PTPRB",0.663364603550708
"CDH5","PLPP1",0.662317884437317
"DOK3","MS4A1",0.662110847504738
"CALCRL","JAM2",0.661905781244313
"ADGRA2","ROBO4",0.661333537126774
"MCAM","RHOJ",0.66034929756473
"GNG2","ICOS",0.659969682773916
"CORIN","FILIP1L",0.659599021729884
"CDH13","PTPRG",0.659497915318298
"ROBO4","TEK",0.659333114878739
"AQP1","GYPC",0.659200406865581
"CSPG4","ROBO4",0.658865212684781
"CCR4","TNFSF13B",0.658049168158858
"CDH13","DSEL",0.657970488894802
"ICAM2","ICOS",0.657895263259841
"CMTM7","TNFRSF9",0.657451431462038
"ARHGEF15","KANK3",0.656582478781679
